口罩类型,口罩下方的数字序列是否清晰,字体是否是斜纹45度喷墨上去的,金属条是否光滑,是否有异味,口罩上的中英文是否清晰,是否有QS认证或LA认证,是否有呼吸阀,口罩真假
3M 9001,是,是,是,否,是,是,是,真
3M 9001V,否,否,是,否,否,是,是,假
朝美2001折叠式,是,否,是,否,是,是,是,真
龙飞翔N95,是,是,是,否,是,是,是,真
洗美丽N95,是,否,否,否,是,是,是,假
永康洁一次性使用口罩B型挂耳式/中号,,,是,是,,否,否,假
春连一次性使用口罩/中号,,,否,否,,否,否,假
翔翊医用外科口罩I型长方形,,,是,否,,否,否,
朝伊康一次性使用口罩,,,是,否,,否,否,真
朝美2002,是,否,是,否,是,是,否,真
3M 9501,是,是,是,否,是,是,是,真
3M 9001V,是,是,是,否,是,是,是,真
医友医用口罩,是,,是,否,,否,否,假
友善一家一次性防护口罩,是,否,是,否,,是,是,真
不知名一次性口罩,,,是,否,,否,否,假
若舒KN95防护口罩,,,是,否,,是,是,真
卫杰一次性使用口罩,,,是,否,,否,否,假
韩国MASK KF94,,,是,否,,否,否,真
汉方元PM2.5主动防霾口罩,,,是,否,是,是,是,真
稳健医疗 一次性医用口罩,是,是,是,否,是,是,否,真
3M 8210 N95口罩,是,是,是,否,是,是,否,真
霍尼韦尔 H930V KN95口罩,是,否,是,否,是,是,是,真
3M 儿童款 KN95,是,是,,否,是,是,是,真
3X 一次性医用口罩,,,否,否,,否,否,假
KN95,是,否,是,否,是,是,否,假
N95,是,否,是,否,是,是,否,真
普通防护用,,,是,否,,否,否,真
N95防护用,是,是,是,否,是,是,否,真
医用一次性口罩,,,是,否,,否,否,真
H950V KN95,是,否,是,否,是,否,是,真
JE-2008（KN95）,是,否,是,否,是,是,是,真
一次性使用医用口罩,,,是,否,是,否,否,真
医用普通口罩,,,是,否,,否,否,真
N95,是,否,是,否,是,是,否,真
普通防护用,,,是,否,,否,否,真
N95防护用,是,是,是,否,是,是,否,真
一次性使用口罩,是,否,是,否,是,否,否,真
凯旋一次性使用医用口罩,,,是,否,是,否,否,真
瀚思医用外科口罩,,,是,否,,否,否,真
弓立医疗KN95口罩,是,是,是,否,是,是,是,真
KN95折叠式颗粒物防护口罩（耳戴式）,是,否,是,否,是,是,否,真
KN95自吸过滤式防颗粒物呼吸器,是,否,是,否,是,是,是,真
3M防护口罩（KN95级别）,是,是,是,否,是,否,是,真
宜美健一次性医用口罩,,,,否,,否,否,真
一次性口罩,,,,否,,否,否,真
蓝鹊BFE99三层保护防敏感口罩,,,,否,,否,否,真
安心宁医用防护口罩,,,是,否,,否,否,真
恒明医疗医用外科口罩,,,是,否,,否,否,真
3MKN90,,是,是,否,是,是,是,真
一次性医用口罩（非外科用）,,,,否,,否,否,真
3MKN95,,否,是,否,是,是,是,真
德尔格,,,是,是,是,否,是,真
一次性医用口罩,,,是,否,,否,否,真
3M8511,,,是,否,,否,是,真
一次性医用口罩,,,,否,,否,否,真
一次性医用口罩,,,,否,,否,否,假
KN95,是,否,是,否,是,是,否,真
医用外科口罩,,,是,否,,,否,真
N95,是,否,是,否,是,,否,真 
N95,是,否,是,否,是,,否,假
医用外科口罩,,,是,否,,否,否,假
医用外科口罩,,,是,否,,,否,真
医用外科口罩,,,是,否,,是,否,真
医用外科口罩,,,是,是,,是,否,真
N95,是,,是,否,是,是,是,真
医用外科口罩,,,是,否,是,否,否,真
一次性医用口罩,,,是,否,,否,否,假
医用外科口罩,,,是,否,,否,否,真
一次性印花口罩,,,是,否,,否,否,假
N95,是,,是,否,是,是,否,真
医用外科口罩,,,是,否,,否,否,真
3M N95/KN95,是,是,是,否,是,是,否,真
医用外科口罩,,,是,否,,否,否,真
3M N95/KN95,是,是,否,否,是,是,否,真
3M N95/KN95,是,是,是,否,是,是,是,真
3M N95/KN95,是,是,是,否,是,是,是,真
honeywell kn95,是,否,,否,是,是,是,真
N95,否,否,是,否,是,是,否,真
EPCKN95,是,是,,否,是,是,是,真
3M N95/KN95,是,否,是,是,是,是,否,假
3M 9002V,是,否,是,否,是,是,是,真
